"","customerid","urban","frequency","menu","partysize","monthlybasepayment","tenure","monthlyaddons","rating","churn","churn_prediction","addons_prediction"
"38","cid0000038",1,"once-a-month","convenience",3,33.990002,3,25,4,0,0.00830711527925209,22.2812433678677
"39","cid0000039",1,"once-a-month","ethnic",5,52.990002,8,8,1,1,0.683153726551391,3.602701935355
"40","cid0000040",0,"once-a-month","convenience",6,47.990002,33,8,3,0,0.0569509089842509,16.8939747613692
"41","cid0000041",1,"once-a-month","convenience",5,43.990002,8,0,3,0,0.106347525742095,17.2986878600966
"42","cid0000042",0,"once-a-month","ethnic",4,47.990002,8,45,2,1,0.500151444415925,8.4614861934764
"43","cid0000043",1,"once-a-week","ethnic",5,186.99001,19,51,5,0,0.0277181762772108,31.2761700592117
"44","cid0000044",1,"twice-a-week","healthy",6,317.98999,7,0,2,0,0.428479903810053,10.799972087238
"45","cid0000045",1,"once-a-month","convenience",3,33.990002,5,0,3,0,0.0278499710136227,15.3989721073765
"46","cid0000046",1,"once-a-month","convenience",5,43.990002,1,40,4,0,0.0490267258349652,24.2511945828573
"47","cid0000047",0,"once-a-month","healthy",5,57.990002,12,0,2,0,0.32139374334309,8.63139619205413
"48","cid0000048",0,"once-a-month","ethnic",4,47.990002,13,0,2,0,0.40632548515078,8.39125073120695
"49","cid0000049",1,"twice-a-week","convenience",3,172.99001,50,51,5,0,0.000736222468514614,28.5781547135707
"50","cid0000050",1,"once-a-month","ethnic",5,52.990002,7,0,1,1,0.688864921000104,3.61674902780889
"51","cid0000051",1,"once-a-month","ethnic",3,40.990002,16,0,2,0,0.153290813546686,8.4026452412255
"52","cid0000052",0,"once-a-month","convenience",3,33.990002,7,0,1,0,0.50167481734419,0.638059468880702
"53","cid0000053",1,"once-a-month","ethnic",3,40.990002,27,4,3,0,0.0361472965811412,15.1023042998161
"54","cid0000054",0,"once-a-month","convenience",6,47.990002,2,0,2,1,0.568511730597735,10.4752575518563
"55","cid0000055",0,"once-a-month","convenience",3,33.990002,2,0,3,0,0.135727962495007,14.416649082317
"56","cid0000056",1,"twice-a-week","ethnic",6,292.98999,17,55,5,0,0.0795441176029695,31.966862536097
"57","cid0000057",0,"once-a-month","convenience",3,33.990002,8,0,3,0,0.0905470277464834,14.3323665275937
"58","cid0000058",0,"once-a-month","convenience",5,43.990002,16,0,1,0,0.434052320197297,2.45349266687752
"59","cid0000059",1,"once-a-month","convenience",6,47.990002,38,20,3,0,0.102271085151877,17.8482036015209
"60","cid0000060",0,"once-a-month","convenience",6,47.990002,31,21,5,0,0.0161249087417581,30.6304230974438
"61","cid0000061",0,"once-a-month","convenience",4,39.990002,2,0,4,0,0.0852153034297619,22.2417546729414
"62","cid0000062",1,"once-a-month","convenience",4,39.990002,2,49,3,0,0.0617267038115291,16.4120418997791
"63","cid0000063",1,"once-a-month","healthy",4,51.990002,3,23,3,0,0.0644420021134781,15.6655328871028
"64","cid0000064",0,"once-a-month","convenience",3,33.990002,2,47,2,1,0.324673414606545,7.56247200673359
"65","cid0000065",1,"once-a-week","convenience",3,120.99,2,0,4,0,0.00899986764255307,22.7065682988373
"66","cid0000066",0,"twice-a-week","ethnic",3,206.99001,6,0,3,0,0.230678762731795,14.4757765543791
"67","cid0000067",1,"twice-a-week","healthy",5,289.98999,28,0,2,0,0.18748885103665,9.53405463066539
"68","cid0000068",0,"once-a-month","convenience",3,33.990002,2,0,2,0,0.324673414606545,7.56247200673359
"69","cid0000069",1,"once-a-month","convenience",4,39.990002,50,1,4,0,0.0057865047313588,22.5919585375758
"70","cid0000070",0,"once-a-month","healthy",6,62.990002,18,0,2,0,0.295866359812324,9.51804215237171
"71","cid0000071",0,"once-a-month","convenience",5,43.990002,10,0,4,0,0.0843565946797905,23.1003064483512
"72","cid0000072",0,"once-a-month","convenience",3,33.990002,31,0,4,0,0.00563654421514251,20.8634604767377
"73","cid0000073",0,"once-a-month","convenience",5,43.990002,1,31,3,0,0.300979040692898,16.3725532048527
"74","cid0000074",1,"once-a-month","convenience",2,27.99,7,0,3,0,0.0126481318225263,14.3999494074278
"75","cid0000075",1,"once-a-month","convenience",2,27.99,21,0,2,0,0.0350329174387503,7.3491130374899
"76","cid0000076",0,"once-a-week","convenience",4,139.99001,3,38,5,0,0.032806411584952,29.4931624945867
"77","cid0000077",0,"once-a-week","convenience",4,139.99001,25,28,3,0,0.0440393282970442,15.4757723094342
"78","cid0000078",1,"once-a-month","ethnic",5,52.990002,3,49,3,0,0.241703657644909,17.3812915487913
"79","cid0000079",0,"twice-a-week","convenience",4,199.99001,15,18,3,0,0.093262037942708,15.3079130109097
"80","cid0000080",1,"twice-a-week","ethnic",4,239.99001,1,56,4,0,0.0523210287188383,23.395581909694
"81","cid0000081",0,"once-a-month","convenience",3,33.990002,8,32,4,0,0.0314978230816141,21.1865436031771
"82","cid0000082",0,"once-a-month","convenience",4,39.990002,18,46,5,0,0.0101769230398153,28.8711782692626
"83","cid0000083",1,"once-a-month","ethnic",2,32.990002,2,0,4,0,0.00828332422117656,21.3367301717059
"84","cid0000084",1,"once-a-month","convenience",5,43.990002,15,0,1,1,0.432914618168034,3.49200406175254
"85","cid0000085",1,"twice-a-week","convenience",3,172.99001,22,0,2,0,0.0676810783540187,8.40894207552929
"86","cid0000086",1,"once-a-month","convenience",2,27.99,1,45,3,0,0.0147969329230795,14.4842319621511
"87","cid0000087",1,"twice-a-week","healthy",3,224.99001,2,6,2,0,0.117107686599284,7.95742200438471
"88","cid0000088",1,"once-a-month","convenience",6,47.990002,4,42,5,0,0.0450260588630187,32.03415889612
"89","cid0000089",1,"once-a-month","convenience",4,39.990002,24,9,3,0,0.0354119654161006,16.1030058657935
"90","cid0000090",0,"once-a-month","convenience",6,47.990002,1,34,2,0,0.587039003958248,10.4893046443102
"91","cid0000091",1,"once-a-month","ethnic",3,40.990002,7,0,3,0,0.059915230190541,15.3832461488939
"92","cid0000092",1,"once-a-week","ethnic",5,186.99001,19,14,2,1,0.3796112979694,10.7136388324614
"93","cid0000093",1,"once-a-month","ethnic",4,47.990002,5,0,2,0,0.31092155158211,9.5280917732592
"94","cid0000094",1,"once-a-month","convenience",3,33.990002,1,53,5,0,0.00244338654636327,29.1635146283589
"95","cid0000095",0,"twice-a-week","ethnic",3,206.99001,7,58,5,0,0.0288000363008694,28.1700836130921
"96","cid0000096",0,"once-a-month","healthy",4,51.990002,18,0,1,0,0.365731276956213,0.72200804670644
"97","cid0000097",1,"once-a-month","ethnic",2,32.990002,44,0,3,0,0.0111412417240154,13.8925752130591
"98","cid0000098",1,"once-a-month","convenience",4,39.990002,3,0,4,0,0.0198359196018135,23.2521718829086
"99","cid0000099",0,"once-a-month","convenience",2,27.99,2,0,5,0,0.00803561404061476,27.154074718443
"100","cid0000100",0,"once-a-month","ethnic",3,40.990002,16,38,2,0,0.280274802294408,7.37818093880437
"101","cid0000101",1,"once-a-month","convenience",4,39.990002,30,22,1,0,0.238854809809895,2.31036915990327
"102","cid0000102",1,"once-a-month","convenience",4,39.990002,16,0,4,0,0.0141342588503957,23.0695596810081
"103","cid0000103",0,"once-a-month","healthy",4,51.990002,32,0,3,0,0.0268271152196026,14.2337029035189
"104","cid0000104",1,"once-a-month","convenience",3,33.990002,6,2,3,0,0.0271410156134445,15.3849250149226
"105","cid0000105",1,"twice-a-week","ethnic",3,206.99001,7,0,3,0,0.065673559383528,15.4861937643463
"106","cid0000106",1,"once-a-month","ethnic",5,52.990002,6,2,2,0,0.449971277092168,10.4849731958462
"107","cid0000107",0,"once-a-month","ethnic",4,47.990002,1,9,5,1,0.0806554551442214,29.1223470674039
"108","cid0000108",1,"once-a-month","healthy",6,62.990002,25,71,5,0,0.0282283917721464,31.0067080343659
"109","cid0000109",0,"once-a-month","convenience",4,39.990002,23,49,3,0,0.0483375303831509,15.0925886558263
"110","cid0000110",0,"once-a-month","convenience",4,39.990002,7,35,5,0,0.0231603198471756,29.0256962862554
"111","cid0000111",0,"once-a-month","ethnic",3,40.990002,1,44,5,0,0.0406863037951957,28.151418552363
"112","cid0000112",0,"once-a-month","ethnic",4,47.990002,4,51,4,0,0.158057599330134,22.2260287144588
"113","cid0000113",1,"twice-a-week","ethnic",3,206.99001,3,0,2,1,0.219871126093066,8.68820505857844
"114","cid0000114",0,"once-a-month","convenience",5,43.990002,5,51,5,0,0.0540072295422333,30.0247189862041
"115","cid0000115",1,"once-a-month","convenience",5,43.990002,23,32,1,1,0.381759158625235,3.37962732212142
"116","cid0000116",1,"twice-a-week","convenience",4,199.99001,12,0,4,0,0.0172770299312912,23.228695666276
"117","cid0000117",0,"twice-a-week","convenience",4,199.99001,26,0,1,0,0.243648804728154,1.44504084275008
"118","cid0000118",0,"twice-a-week","healthy",5,289.98999,54,48,2,0,0.0210488262782295,8.14436592444312
"119","cid0000119",1,"once-a-month","convenience",5,43.990002,9,60,3,0,0.103853789389383,17.2846407676428
"120","cid0000120",0,"once-a-month","convenience",4,39.990002,9,13,4,0,0.0518969513244567,22.1434250257641
"121","cid0000121",0,"once-a-month","convenience",5,43.990002,8,48,3,1,0.201920276333648,16.2742235576755
"122","cid0000122",0,"once-a-month","ethnic",4,47.990002,3,0,3,1,0.352469072995233,15.3858987313293
"123","cid0000123",0,"once-a-month","healthy",4,51.990002,3,10,4,0,0.0849432868176385,21.4952456602651
"124","cid0000124",1,"once-a-month","ethnic",4,47.990002,8,0,1,0,0.56881721618575,2.63177342031409
"125","cid0000125",0,"once-a-month","healthy",5,57.990002,28,33,3,0,0.0561996857380676,15.2608197883753
"126","cid0000126",0,"once-a-month","convenience",4,39.990002,6,0,2,0,0.331779008242377,8.47721215195894
"127","cid0000127",1,"twice-a-week","convenience",2,140.99001,2,23,3,0,0.0158746016925209,14.5731324851496
"128","cid0000128",1,"once-a-month","convenience",4,39.990002,21,0,2,1,0.11177663575712,9.29097006757172
"129","cid0000129",0,"twice-a-week","convenience",2,140.99001,5,27,4,0,0.0242062914971549,20.3607039809503
"130","cid0000130",0,"once-a-month","healthy",4,51.990002,15,0,1,0,0.420016808896661,0.764149324068111
"131","cid0000131",1,"twice-a-week","healthy",6,317.98999,41,28,1,0,0.426117994381365,3.4681938682223
"132","cid0000132",0,"once-a-month","ethnic",4,47.990002,8,40,4,0,0.121684091866534,22.1698403446433
"133","cid0000133",1,"once-a-month","convenience",3,33.990002,9,49,2,0,0.0850146018363132,8.48860666197749
"134","cid0000134",1,"once-a-week","ethnic",3,144.99001,10,0,5,0,0.00475587416555535,29.4607368612149
"135","cid0000135",1,"once-a-month","healthy",3,44.990002,12,0,4,0,0.00704426172792588,21.4223576155603
"136","cid0000136",0,"once-a-month","convenience",4,39.990002,1,3,5,0,0.036049633036775,29.1099788409787
"137","cid0000137",1,"twice-a-week","convenience",5,222.99001,8,0,2,0,0.267258776044583,10.5474583999656
"138","cid0000138",1,"twice-a-week","convenience",3,172.99001,1,39,4,0,0.00964750575561811,22.4122851682279
"139","cid0000139",0,"twice-a-week","convenience",3,172.99001,37,39,3,0,0.0119878376624869,14.0279484618833
"140","cid0000140",0,"twice-a-week","healthy",4,259.98999,19,15,5,0,0.0111733429138403,28.2276168720387
"141","cid0000141",1,"once-a-month","ethnic",4,47.990002,1,0,2,1,0.334087557496364,9.58428014307476
"142","cid0000142",0,"once-a-month","convenience",3,33.990002,1,0,2,0,0.34154424164181,7.57651909918748
"143","cid0000143",1,"twice-a-week","convenience",5,222.99001,24,0,1,0,0.398745922559139,3.4685278451199
"144","cid0000144",0,"twice-a-week","convenience",3,172.99001,10,38,5,0,0.00996467964534677,28.1155741093052
"145","cid0000145",1,"once-a-month","ethnic",4,47.990002,3,0,2,1,0.322395487737508,9.55618595816698
"146","cid0000146",1,"once-a-month","ethnic",5,52.990002,19,37,3,0,0.172558879128177,17.1565380695291
"147","cid0000147",0,"once-a-month","ethnic",5,52.990002,2,27,4,1,0.284092015823962,23.2250514144075
"148","cid0000148",1,"once-a-month","convenience",4,39.990002,6,63,4,0,0.018347030441205,23.210030605547
"149","cid0000149",1,"twice-a-week","convenience",2,140.99001,1,0,3,0,0.0162941940782334,14.5871795776035
"150","cid0000150",0,"twice-a-week","convenience",6,243.99001,8,0,2,1,0.479499623240709,10.4939226125854
"151","cid0000151",0,"twice-a-week","ethnic",3,206.99001,48,0,4,0,0.00401572489520162,20.7399757468991
"152","cid0000152",0,"once-a-month","convenience",5,43.990002,2,0,4,0,0.144683613650241,23.2126831879823
"153","cid0000153",0,"once-a-month","healthy",5,57.990002,2,36,3,0,0.300244336536411,15.6260441921765
"154","cid0000154",0,"twice-a-week","convenience",4,199.99001,53,42,1,1,0.0397874448315146,1.06576934649505
"155","cid0000155",1,"twice-a-week","convenience",4,199.99001,7,25,4,0,0.0196780904716052,23.2989311285454
"156","cid0000156",1,"twice-a-week","convenience",6,243.99001,10,0,2,0,0.391726118503788,11.4902927300987
"157","cid0000157",1,"once-a-month","healthy",4,51.990002,2,12,5,0,0.00700824639846077,29.3879341307236
"158","cid0000158",0,"once-a-month","convenience",6,47.990002,5,0,1,1,0.68481115887012,3.57893919891122
"159","cid0000159",1,"once-a-month","ethnic",3,40.990002,51,0,1,0,0.205153970608302,1.0568199297559
"160","cid0000160",1,"once-a-month","ethnic",4,47.990002,44,26,5,0,0.00503120466996867,29.5427863943078
"161","cid0000161",1,"once-a-month","convenience",3,33.990002,52,59,4,0,0.00227947347764629,21.5929358376271
"162","cid0000162",0,"once-a-month","convenience",6,47.990002,14,0,1,1,0.523074280181112,3.45251536682621
"163","cid0000163",1,"once-a-month","convenience",6,47.990002,1,4,3,0,0.233045868477642,18.3679460223148
"164","cid0000164",1,"once-a-month","convenience",5,43.990002,13,0,1,0,0.44597679384493,3.52009824666032
"165","cid0000165",1,"once-a-month","convenience",4,39.990002,8,33,3,0,0.0531303188158994,16.3277593450557
"166","cid0000166",1,"once-a-month","ethnic",3,40.990002,11,31,3,0,0.0542128940371649,15.3270577790784
"167","cid0000167",1,"once-a-month","convenience",3,33.990002,15,44,4,0,0.0060569155540673,22.112678258421
"168","cid0000168",1,"twice-a-week","convenience",6,243.99001,3,50,4,0,0.115253739356967,25.2969765284428
"169","cid0000169",1,"once-a-month","ethnic",3,40.990002,1,0,3,0,0.0695287904151005,15.4675287036173
"170","cid0000170",0,"once-a-month","convenience",3,33.990002,10,8,5,0,0.00904368571552702,28.0126264938528
"171","cid0000171",1,"once-a-week","ethnic",6,204.99001,53,0,2,1,0.316228075186008,11.20696620407
"172","cid0000172",1,"twice-a-week","convenience",5,222.99001,4,0,1,0,0.529865363776909,3.7494696941977
"173","cid0000173",1,"once-a-month","convenience",4,39.990002,2,29,4,0,0.0203580503144458,23.2662189753625
"174","cid0000174",1,"once-a-month","convenience",3,33.990002,1,0,3,0,0.0308698535984461,15.4551604771921
"175","cid0000175",1,"once-a-week","convenience",4,139.99001,20,49,5,0,0.00428183452129579,30.2788262252917
"176","cid0000176",1,"once-a-month","convenience",5,43.990002,10,52,4,1,0.0390246958973921,24.1247707507723
"177","cid0000177",1,"twice-a-week","convenience",5,222.99001,16,11,3,0,0.0959711489058145,17.2892587359179
"178","cid0000178",0,"once-a-month","ethnic",5,52.990002,46,0,3,0,0.0320459535723424,15.7528022708529
"179","cid0000179",0,"twice-a-week","convenience",2,140.99001,33,33,3,0,0.0102082776128061,13.1132083166579
"180","cid0000180",0,"once-a-month","convenience",2,27.99,6,38,4,0,0.0204220833777977,20.243709273044
"181","cid0000181",0,"once-a-month","healthy",3,44.990002,21,22,4,0,0.0128585454438918,20.2714694810542
"182","cid0000182",1,"once-a-month","convenience",6,47.990002,2,57,3,0,0.228340306504122,18.3538989298609
"183","cid0000183",0,"once-a-month","healthy",4,51.990002,10,13,3,0,0.127849773180697,14.5427389375044
"184","cid0000184",0,"once-a-week","convenience",4,139.99001,10,0,3,0,0.125836243462398,15.6864786962426
"185","cid0000185",1,"twice-a-week","convenience",3,172.99001,41,0,1,0,0.136579152201784,1.28787024332194
"186","cid0000186",1,"once-a-month","convenience",3,33.990002,14,33,2,0,0.0752533539855801,8.41837119970804
"187","cid0000187",0,"twice-a-week","convenience",4,199.99001,5,0,4,0,0.0756154634943918,22.3025610110321
"188","cid0000188",1,"once-a-month","healthy",4,51.990002,18,0,2,0,0.127781947738637,8.60064942471101
"189","cid0000189",1,"once-a-week","convenience",3,120.99,15,0,2,0,0.0772085705608792,8.81560194576988
"190","cid0000190",1,"twice-a-week","convenience",3,172.99001,14,0,1,1,0.244512471750769,1.66714173957697
"191","cid0000191",1,"twice-a-week","convenience",2,140.99001,21,0,2,0,0.0384977895571542,7.45206065294227
"192","cid0000192",1,"twice-a-week","healthy",3,224.99001,17,0,1,0,0.243206501972524,0.89253854199292
"193","cid0000193",0,"once-a-week","convenience",3,120.99,7,0,4,0,0.0357226371456491,21.6118685341467
"194","cid0000194",0,"once-a-month","healthy",5,57.990002,21,15,4,1,0.0411846276270589,22.213326511136
"195","cid0000195",1,"once-a-month","healthy",4,51.990002,19,0,1,0,0.311129744905206,1.73242525667368
"196","cid0000196",1,"twice-a-week","healthy",5,289.98999,20,0,4,0,0.0356216279506828,23.3547855214634
"197","cid0000197",1,"once-a-week","ethnic",5,186.99001,4,0,1,1,0.716800102770598,4.07016814368629
"198","cid0000198",1,"once-a-month","convenience",5,43.990002,1,0,1,0,0.525288041920512,3.688663356107
"199","cid0000199",1,"once-a-month","convenience",3,33.990002,18,53,5,0,0.00155818164883571,28.9247140566428
"200","cid0000200",1,"once-a-month","convenience",3,33.990002,48,37,3,0,0.00907768643233438,14.7949471318592
"201","cid0000201",1,"once-a-month","ethnic",5,52.990002,3,0,1,0,0.711129784745039,3.67293739762445
"202","cid0000202",1,"once-a-month","convenience",3,33.990002,13,12,2,0,0.0771194366867232,8.43241829216193
"203","cid0000203",0,"once-a-month","convenience",5,43.990002,4,49,4,0,0.126879579001891,23.1845890030745
"204","cid0000204",1,"once-a-week","ethnic",4,167.99001,11,53,3,0,0.113748764913641,16.709264132635
"205","cid0000205",1,"once-a-week","convenience",3,120.99,12,54,3,0,0.0245066039648529,15.711920298715
"206","cid0000206",1,"once-a-month","convenience",4,39.990002,9,0,2,0,0.147475172965937,9.4595351770184
"207","cid0000207",0,"twice-a-week","healthy",5,289.98999,1,0,1,1,0.739694754250825,2.03468474891586
"208","cid0000208",0,"once-a-month","healthy",6,62.990002,47,13,4,1,0.010708866151433,22.8190306223758
"209","cid0000209",1,"once-a-week","convenience",5,155.99001,20,12,5,0,0.011696030825969,31.2497547403326
"210","cid0000210",0,"twice-a-week","convenience",4,199.99001,13,0,3,0,0.106926483715682,15.3360071958175
"211","cid0000211",1,"once-a-month","convenience",2,27.99,1,19,3,0,0.0147969329230795,14.4842319621511
"212","cid0000212",0,"once-a-week","ethnic",4,167.99001,26,0,3,0,0.0910466626007695,15.4740934434055
"213","cid0000213",1,"once-a-month","convenience",4,39.990002,34,0,1,0,0.220109624140908,2.25418079008771
"214","cid0000214",0,"once-a-month","ethnic",6,57.990002,9,2,3,0,0.467221018117208,17.2434732066878
"215","cid0000215",1,"once-a-week","ethnic",4,167.99001,4,0,2,0,0.328490944924801,9.95341670422882
"216","cid0000216",0,"once-a-week","healthy",4,181.99001,7,0,4,0,0.0674493331780405,21.8503351289653
"217","cid0000217",1,"twice-a-week","convenience",3,172.99001,8,59,5,0,0.00223870159517406,29.1681325966341
"218","cid0000218",0,"once-a-month","healthy",4,51.990002,44,0,1,0,0.0740936889766497,0.356783642905299
"219","cid0000219",0,"once-a-month","convenience",5,43.990002,3,25,2,1,0.465995668063256,9.49028194436153
"220","cid0000220",0,"once-a-month","convenience",2,27.99,6,42,3,0,0.067775042478927,13.3895321974606
"221","cid0000221",1,"once-a-month","convenience",5,43.990002,2,0,1,0,0.518672236853055,3.67461626365311
"222","cid0000222",0,"twice-a-week","convenience",6,243.99001,32,0,2,0,0.129543242240578,10.156792393692
"223","cid0000223",0,"once-a-month","convenience",2,27.99,15,26,4,0,0.0104142291203167,20.117285440959
"224","cid0000224",0,"twice-a-week","convenience",4,199.99001,44,3,1,0,0.0758585426953224,1.19219317858006
"225","cid0000225",0,"once-a-month","convenience",3,33.990002,3,0,4,0,0.0453883203118733,21.2567790654466
"226","cid0000226",1,"once-a-month","convenience",5,43.990002,1,0,3,0,0.125318563882104,17.3970175072739
"227","cid0000227",0,"once-a-month","convenience",6,47.990002,12,0,3,0,0.229375234011365,17.1889637029009
"228","cid0000228",0,"once-a-month","convenience",6,47.990002,20,9,5,0,0.036417372287919,30.7849411144366
"229","cid0000229",0,"once-a-month","ethnic",4,47.990002,6,0,2,1,0.538055948242329,8.48958037838418
"230","cid0000230",1,"twice-a-week","convenience",6,243.99001,2,7,5,0,0.0519806631992169,32.1652006964801
"231","cid0000231",1,"twice-a-week","convenience",4,199.99001,1,37,5,0,0.00737928318721126,30.2373907588522
"232","cid0000232",1,"once-a-month","convenience",6,47.990002,36,0,1,1,0.416901761263867,4.16794363526176
"233","cid0000233",1,"twice-a-week","convenience",6,243.99001,3,11,2,0,0.436726447331163,11.5886223772759
"234","cid0000234",1,"once-a-month","convenience",3,33.990002,34,45,3,0,0.0131044948336922,14.9916064262137
"235","cid0000235",0,"once-a-month","ethnic",5,52.990002,21,51,5,0,0.0382080364737444,29.8123337333671
"236","cid0000236",0,"once-a-week","convenience",3,120.99,4,15,4,0,0.0444583773499144,21.6540098115084
"237","cid0000237",1,"once-a-month","convenience",4,39.990002,7,18,4,0,0.0178755359921406,23.1959835130931
"238","cid0000238",1,"once-a-month","convenience",4,39.990002,3,19,4,0,0.0198359196018135,23.2521718829086
"239","cid0000239",0,"once-a-month","convenience",4,39.990002,23,17,5,0,0.00698357686064676,28.8009428069931
"240","cid0000240",1,"once-a-month","convenience",4,39.990002,13,54,5,0,0.0048797957905889,29.9658780339532
"241","cid0000241",1,"once-a-month","convenience",4,39.990002,17,35,5,0,0.00439090405249631,29.9096896641376
"242","cid0000242",1,"once-a-month","convenience",4,39.990002,19,0,3,1,0.0402301391441188,16.1732413280629
"243","cid0000243",0,"once-a-month","convenience",4,39.990002,7,28,5,0,0.0231603198471756,29.0256962862554
"244","cid0000244",1,"once-a-month","convenience",4,39.990002,2,0,1,1,0.397342013344177,2.70368774861219
"245","cid0000245",0,"once-a-month","convenience",4,39.990002,5,46,3,0,0.166202275899471,15.3454363199963
"246","cid0000246",0,"once-a-month","ethnic",4,47.990002,30,28,4,0,0.0253915116585164,21.8608043106577
"247","cid0000247",0,"twice-a-week","ethnic",6,292.98999,10,0,3,0,0.472689480626556,17.3323737296863
"248","cid0000248",0,"twice-a-week","convenience",5,222.99001,1,0,5,0,0.0786102374929456,30.183854971472
"249","cid0000249",1,"once-a-month","convenience",5,43.990002,11,0,1,1,0.459114008854232,3.5481924315681
"250","cid0000250",0,"once-a-week","convenience",3,120.99,14,0,3,0,0.062477663202704,14.6593618113861
"251","cid0000251",1,"once-a-month","convenience",3,33.990002,5,45,4,0,0.00788144962030344,22.2531491829599
"252","cid0000252",1,"once-a-month","convenience",2,27.99,2,12,5,0,0.000865981478100229,28.1785390208641
"253","cid0000253",1,"once-a-month","healthy",5,57.990002,3,0,2,0,0.288752853162427,9.78228432656027
"254","cid0000254",1,"once-a-week","convenience",6,170.99001,4,45,3,0,0.228560933976754,18.7370825834688
"255","cid0000255",1,"once-a-month","convenience",6,47.990002,40,26,2,1,0.20859460524807,10.9659323410296
"256","cid0000256",0,"once-a-month","convenience",3,33.990002,7,22,3,0,0.0969994865520752,14.3464136200476
"257","cid0000257",0,"once-a-week","ethnic",3,144.99001,1,21,4,1,0.120554799899082,21.7085193152953
"258","cid0000258",0,"once-a-month","convenience",5,43.990002,3,32,4,0,0.135535276079868,23.1986360955284
