customerid,urban,frequency,menu,partysize,monthlybasepayment,tenure,monthlyaddons,rating,churn
cid0000042,0,once-a-month,ethnic,4,47.990002,8,45,2,1
cid0000043,1,once-a-week,ethnic,5,186.99001,19,51,5,0
cid0000044,1,twice-a-week,healthy,6,317.98999,7,0,2,0
cid0000045,1,once-a-month,convenience,3,33.990002,5,0,3,0
cid0000046,1,once-a-month,convenience,5,43.990002,1,40,4,0
cid0000047,0,once-a-month,healthy,5,57.990002,12,0,2,0
cid0000048,0,once-a-month,ethnic,4,47.990002,13,0,2,0
cid0000049,1,twice-a-week,convenience,3,172.99001,50,51,5,0
cid0000050,1,once-a-month,ethnic,5,52.990002,7,0,1,1
cid0000051,1,once-a-month,ethnic,3,40.990002,16,0,2,0
cid0000052,0,once-a-month,convenience,3,33.990002,7,0,1,0
cid0000053,1,once-a-month,ethnic,3,40.990002,27,4,3,0
cid0000054,0,once-a-month,convenience,6,47.990002,2,0,2,1
cid0000055,0,once-a-month,convenience,3,33.990002,2,0,3,0
cid0000056,1,twice-a-week,ethnic,6,292.98999,17,55,5,0
cid0000057,0,once-a-month,convenience,3,33.990002,8,0,3,0
cid0000058,0,once-a-month,convenience,5,43.990002,16,0,1,0
cid0000059,1,once-a-month,convenience,6,47.990002,38,20,3,0
cid0000060,0,once-a-month,convenience,6,47.990002,31,21,5,0
cid0000061,0,once-a-month,convenience,4,39.990002,2,0,4,0
cid0000062,1,once-a-month,convenience,4,39.990002,2,49,3,0
cid0000063,1,once-a-month,healthy,4,51.990002,3,23,3,0
cid0000064,0,once-a-month,convenience,3,33.990002,2,47,2,1
cid0000065,1,once-a-week,convenience,3,120.99,2,0,4,0
cid0000066,0,twice-a-week,ethnic,3,206.99001,6,0,3,0
cid0000067,1,twice-a-week,healthy,5,289.98999,28,0,2,0
cid0000068,0,once-a-month,convenience,3,33.990002,2,0,2,0
cid0000069,1,once-a-month,convenience,4,39.990002,50,1,4,0
cid0000070,0,once-a-month,healthy,6,62.990002,18,0,2,0
cid0000071,0,once-a-month,convenience,5,43.990002,10,0,4,0
cid0000072,0,once-a-month,convenience,3,33.990002,31,0,4,0
cid0000073,0,once-a-month,convenience,5,43.990002,1,31,3,0
cid0000074,1,once-a-month,convenience,2,27.99,7,0,3,0
cid0000075,1,once-a-month,convenience,2,27.99,21,0,2,0
cid0000076,0,once-a-week,convenience,4,139.99001,3,38,5,0
cid0000077,0,once-a-week,convenience,4,139.99001,25,28,3,0
cid0000078,1,once-a-month,ethnic,5,52.990002,3,49,3,0
cid0000079,0,twice-a-week,convenience,4,199.99001,15,18,3,0
cid0000080,1,twice-a-week,ethnic,4,239.99001,1,56,4,0
cid0000081,0,once-a-month,convenience,3,33.990002,8,32,4,0
cid0000082,0,once-a-month,convenience,4,39.990002,18,46,5,0
cid0000083,1,once-a-month,ethnic,2,32.990002,2,0,4,0
cid0000084,1,once-a-month,convenience,5,43.990002,15,0,1,1
cid0000085,1,twice-a-week,convenience,3,172.99001,22,0,2,0
cid0000086,1,once-a-month,convenience,2,27.99,1,45,3,0
cid0000087,1,twice-a-week,healthy,3,224.99001,2,6,2,0
cid0000088,1,once-a-month,convenience,6,47.990002,4,42,5,0
cid0000089,1,once-a-month,convenience,4,39.990002,24,9,3,0
cid0000090,0,once-a-month,convenience,6,47.990002,1,34,2,0
cid0000091,1,once-a-month,ethnic,3,40.990002,7,0,3,0
cid0000092,1,once-a-week,ethnic,5,186.99001,19,14,2,1
cid0000093,1,once-a-month,ethnic,4,47.990002,5,0,2,0
cid0000094,1,once-a-month,convenience,3,33.990002,1,53,5,0
cid0000095,0,twice-a-week,ethnic,3,206.99001,7,58,5,0
cid0000096,0,once-a-month,healthy,4,51.990002,18,0,1,0
cid0000097,1,once-a-month,ethnic,2,32.990002,44,0,3,0
cid0000098,1,once-a-month,convenience,4,39.990002,3,0,4,0
cid0000099,0,once-a-month,convenience,2,27.99,2,0,5,0
cid0000100,0,once-a-month,ethnic,3,40.990002,16,38,2,0
cid0000101,1,once-a-month,convenience,4,39.990002,30,22,1,0
cid0000102,1,once-a-month,convenience,4,39.990002,16,0,4,0
cid0000103,0,once-a-month,healthy,4,51.990002,32,0,3,0
cid0000104,1,once-a-month,convenience,3,33.990002,6,2,3,0
cid0000105,1,twice-a-week,ethnic,3,206.99001,7,0,3,0
cid0000106,1,once-a-month,ethnic,5,52.990002,6,2,2,0
cid0000107,0,once-a-month,ethnic,4,47.990002,1,9,5,1
cid0000108,1,once-a-month,healthy,6,62.990002,25,71,5,0
cid0000109,0,once-a-month,convenience,4,39.990002,23,49,3,0
cid0000110,0,once-a-month,convenience,4,39.990002,7,35,5,0
cid0000111,0,once-a-month,ethnic,3,40.990002,1,44,5,0
cid0000112,0,once-a-month,ethnic,4,47.990002,4,51,4,0
cid0000113,1,twice-a-week,ethnic,3,206.99001,3,0,2,1
cid0000114,0,once-a-month,convenience,5,43.990002,5,51,5,0
cid0000115,1,once-a-month,convenience,5,43.990002,23,32,1,1
cid0000116,1,twice-a-week,convenience,4,199.99001,12,0,4,0
cid0000117,0,twice-a-week,convenience,4,199.99001,26,0,1,0
cid0000118,0,twice-a-week,healthy,5,289.98999,54,48,2,0
cid0000119,1,once-a-month,convenience,5,43.990002,9,60,3,0
cid0000120,0,once-a-month,convenience,4,39.990002,9,13,4,0
cid0000121,0,once-a-month,convenience,5,43.990002,8,48,3,1
cid0000122,0,once-a-month,ethnic,4,47.990002,3,0,3,1
cid0000123,0,once-a-month,healthy,4,51.990002,3,10,4,0
cid0000124,1,once-a-month,ethnic,4,47.990002,8,0,1,0
cid0000125,0,once-a-month,healthy,5,57.990002,28,33,3,0
cid0000126,0,once-a-month,convenience,4,39.990002,6,0,2,0
cid0000127,1,twice-a-week,convenience,2,140.99001,2,23,3,0
cid0000128,1,once-a-month,convenience,4,39.990002,21,0,2,1
cid0000129,0,twice-a-week,convenience,2,140.99001,5,27,4,0
cid0000130,0,once-a-month,healthy,4,51.990002,15,0,1,0
cid0000131,1,twice-a-week,healthy,6,317.98999,41,28,1,0
cid0000132,0,once-a-month,ethnic,4,47.990002,8,40,4,0
cid0000133,1,once-a-month,convenience,3,33.990002,9,49,2,0
cid0000134,1,once-a-week,ethnic,3,144.99001,10,0,5,0
cid0000135,1,once-a-month,healthy,3,44.990002,12,0,4,0
cid0000136,0,once-a-month,convenience,4,39.990002,1,3,5,0
cid0000137,1,twice-a-week,convenience,5,222.99001,8,0,2,0
cid0000138,1,twice-a-week,convenience,3,172.99001,1,39,4,0
cid0000139,0,twice-a-week,convenience,3,172.99001,37,39,3,0
cid0000140,0,twice-a-week,healthy,4,259.98999,19,15,5,0
cid0000141,1,once-a-month,ethnic,4,47.990002,1,0,2,1
cid0000142,0,once-a-month,convenience,3,33.990002,1,0,2,0
cid0000143,1,twice-a-week,convenience,5,222.99001,24,0,1,0
cid0000144,0,twice-a-week,convenience,3,172.99001,10,38,5,0
cid0000145,1,once-a-month,ethnic,4,47.990002,3,0,2,1
cid0000146,1,once-a-month,ethnic,5,52.990002,19,37,3,0
cid0000147,0,once-a-month,ethnic,5,52.990002,2,27,4,1
cid0000148,1,once-a-month,convenience,4,39.990002,6,63,4,0
cid0000149,1,twice-a-week,convenience,2,140.99001,1,0,3,0
cid0000150,0,twice-a-week,convenience,6,243.99001,8,0,2,1
cid0000151,0,twice-a-week,ethnic,3,206.99001,48,0,4,0
cid0000152,0,once-a-month,convenience,5,43.990002,2,0,4,0
cid0000153,0,once-a-month,healthy,5,57.990002,2,36,3,0
cid0000154,0,twice-a-week,convenience,4,199.99001,53,42,1,1
cid0000155,1,twice-a-week,convenience,4,199.99001,7,25,4,0
cid0000156,1,twice-a-week,convenience,6,243.99001,10,0,2,0
cid0000157,1,once-a-month,healthy,4,51.990002,2,12,5,0
cid0000158,0,once-a-month,convenience,6,47.990002,5,0,1,1
cid0000159,1,once-a-month,ethnic,3,40.990002,51,0,1,0
cid0000160,1,once-a-month,ethnic,4,47.990002,44,26,5,0
cid0000161,1,once-a-month,convenience,3,33.990002,52,59,4,0
cid0000162,0,once-a-month,convenience,6,47.990002,14,0,1,1
cid0000163,1,once-a-month,convenience,6,47.990002,1,4,3,0
cid0000164,1,once-a-month,convenience,5,43.990002,13,0,1,0
cid0000165,1,once-a-month,convenience,4,39.990002,8,33,3,0
cid0000166,1,once-a-month,ethnic,3,40.990002,11,31,3,0
cid0000167,1,once-a-month,convenience,3,33.990002,15,44,4,0
cid0000168,1,twice-a-week,convenience,6,243.99001,3,50,4,0
cid0000169,1,once-a-month,ethnic,3,40.990002,1,0,3,0
cid0000170,0,once-a-month,convenience,3,33.990002,10,8,5,0
cid0000171,1,once-a-week,ethnic,6,204.99001,53,0,2,1
cid0000172,1,twice-a-week,convenience,5,222.99001,4,0,1,0
cid0000173,1,once-a-month,convenience,4,39.990002,2,29,4,0
cid0000174,1,once-a-month,convenience,3,33.990002,1,0,3,0
cid0000175,1,once-a-week,convenience,4,139.99001,20,49,5,0
cid0000176,1,once-a-month,convenience,5,43.990002,10,52,4,1
cid0000177,1,twice-a-week,convenience,5,222.99001,16,11,3,0
cid0000178,0,once-a-month,ethnic,5,52.990002,46,0,3,0
cid0000179,0,twice-a-week,convenience,2,140.99001,33,33,3,0
cid0000180,0,once-a-month,convenience,2,27.99,6,38,4,0
cid0000181,0,once-a-month,healthy,3,44.990002,21,22,4,0
cid0000182,1,once-a-month,convenience,6,47.990002,2,57,3,0
cid0000183,0,once-a-month,healthy,4,51.990002,10,13,3,0
cid0000184,0,once-a-week,convenience,4,139.99001,10,0,3,0
cid0000185,1,twice-a-week,convenience,3,172.99001,41,0,1,0
cid0000186,1,once-a-month,convenience,3,33.990002,14,33,2,0
cid0000187,0,twice-a-week,convenience,4,199.99001,5,0,4,0
cid0000188,1,once-a-month,healthy,4,51.990002,18,0,2,0
cid0000189,1,once-a-week,convenience,3,120.99,15,0,2,0
cid0000190,1,twice-a-week,convenience,3,172.99001,14,0,1,1
cid0000191,1,twice-a-week,convenience,2,140.99001,21,0,2,0
cid0000192,1,twice-a-week,healthy,3,224.99001,17,0,1,0
cid0000193,0,once-a-week,convenience,3,120.99,7,0,4,0
cid0000194,0,once-a-month,healthy,5,57.990002,21,15,4,1
cid0000195,1,once-a-month,healthy,4,51.990002,19,0,1,0
cid0000196,1,twice-a-week,healthy,5,289.98999,20,0,4,0
cid0000197,1,once-a-week,ethnic,5,186.99001,4,0,1,1
cid0000198,1,once-a-month,convenience,5,43.990002,1,0,1,0
cid0000199,1,once-a-month,convenience,3,33.990002,18,53,5,0
cid0000200,1,once-a-month,convenience,3,33.990002,48,37,3,0
cid0000201,1,once-a-month,ethnic,5,52.990002,3,0,1,0
cid0000202,1,once-a-month,convenience,3,33.990002,13,12,2,0
cid0000203,0,once-a-month,convenience,5,43.990002,4,49,4,0
cid0000204,1,once-a-week,ethnic,4,167.99001,11,53,3,0
cid0000205,1,once-a-week,convenience,3,120.99,12,54,3,0
cid0000206,1,once-a-month,convenience,4,39.990002,9,0,2,0
cid0000207,0,twice-a-week,healthy,5,289.98999,1,0,1,1
cid0000208,0,once-a-month,healthy,6,62.990002,47,13,4,1
cid0000209,1,once-a-week,convenience,5,155.99001,20,12,5,0
cid0000210,0,twice-a-week,convenience,4,199.99001,13,0,3,0
cid0000211,1,once-a-month,convenience,2,27.99,1,19,3,0
cid0000212,0,once-a-week,ethnic,4,167.99001,26,0,3,0
cid0000213,1,once-a-month,convenience,4,39.990002,34,0,1,0
cid0000214,0,once-a-month,ethnic,6,57.990002,9,2,3,0
cid0000215,1,once-a-week,ethnic,4,167.99001,4,0,2,0
cid0000216,0,once-a-week,healthy,4,181.99001,7,0,4,0
cid0000217,1,twice-a-week,convenience,3,172.99001,8,59,5,0
cid0000218,0,once-a-month,healthy,4,51.990002,44,0,1,0
cid0000219,0,once-a-month,convenience,5,43.990002,3,25,2,1
cid0000220,0,once-a-month,convenience,2,27.99,6,42,3,0
cid0000221,1,once-a-month,convenience,5,43.990002,2,0,1,0
cid0000222,0,twice-a-week,convenience,6,243.99001,32,0,2,0
cid0000223,0,once-a-month,convenience,2,27.99,15,26,4,0
cid0000224,0,twice-a-week,convenience,4,199.99001,44,3,1,0
cid0000225,0,once-a-month,convenience,3,33.990002,3,0,4,0
cid0000226,1,once-a-month,convenience,5,43.990002,1,0,3,0
cid0000227,0,once-a-month,convenience,6,47.990002,12,0,3,0
cid0000228,0,once-a-month,convenience,6,47.990002,20,9,5,0
cid0000229,0,once-a-month,ethnic,4,47.990002,6,0,2,1
cid0000230,1,twice-a-week,convenience,6,243.99001,2,7,5,0
cid0000231,1,twice-a-week,convenience,4,199.99001,1,37,5,0
cid0000232,1,once-a-month,convenience,6,47.990002,36,0,1,1
cid0000233,1,twice-a-week,convenience,6,243.99001,3,11,2,0
cid0000234,1,once-a-month,convenience,3,33.990002,34,45,3,0
cid0000235,0,once-a-month,ethnic,5,52.990002,21,51,5,0
cid0000236,0,once-a-week,convenience,3,120.99,4,15,4,0
cid0000237,1,once-a-month,convenience,4,39.990002,7,18,4,0
cid0000238,1,once-a-month,convenience,4,39.990002,3,19,4,0
cid0000239,0,once-a-month,convenience,4,39.990002,23,17,5,0
cid0000240,1,once-a-month,convenience,4,39.990002,13,54,5,0
cid0000241,1,once-a-month,convenience,4,39.990002,17,35,5,0
cid0000242,1,once-a-month,convenience,4,39.990002,19,0,3,1
cid0000243,0,once-a-month,convenience,4,39.990002,7,28,5,0
cid0000244,1,once-a-month,convenience,4,39.990002,2,0,1,1
cid0000245,0,once-a-month,convenience,4,39.990002,5,46,3,0
cid0000246,0,once-a-month,ethnic,4,47.990002,30,28,4,0
cid0000247,0,twice-a-week,ethnic,6,292.98999,10,0,3,0
cid0000248,0,twice-a-week,convenience,5,222.99001,1,0,5,0
cid0000249,1,once-a-month,convenience,5,43.990002,11,0,1,1
cid0000250,0,once-a-week,convenience,3,120.99,14,0,3,0
cid0000251,1,once-a-month,convenience,3,33.990002,5,45,4,0
cid0000252,1,once-a-month,convenience,2,27.99,2,12,5,0
cid0000253,1,once-a-month,healthy,5,57.990002,3,0,2,0
cid0000254,1,once-a-week,convenience,6,170.99001,4,45,3,0
cid0000255,1,once-a-month,convenience,6,47.990002,40,26,2,1
cid0000256,0,once-a-month,convenience,3,33.990002,7,22,3,0
cid0000257,0,once-a-week,ethnic,3,144.99001,1,21,4,1
cid0000258,0,once-a-month,convenience,5,43.990002,3,32,4,0
cid0000259,0,once-a-month,convenience,5,43.990002,19,3,4,0
cid0000260,1,twice-a-week,ethnic,5,267.98999,1,0,3,1
cid0000261,0,twice-a-week,convenience,3,172.99001,53,9,3,0
cid0000262,1,once-a-month,ethnic,6,57.990002,15,3,4,0
cid0000263,1,once-a-week,ethnic,3,144.99001,43,47,5,0
cid0000264,0,twice-a-week,convenience,4,199.99001,4,29,5,0
cid0000265,0,twice-a-week,convenience,4,199.99001,4,0,1,0
cid0000266,0,twice-a-week,convenience,5,222.99001,3,31,2,0
cid0000267,1,once-a-month,convenience,3,33.990002,44,0,2,0
cid0000268,0,once-a-week,convenience,4,139.99001,45,0,3,0
cid0000269,0,once-a-month,convenience,4,39.990002,8,0,3,0
cid0000270,0,once-a-month,convenience,4,39.990002,5,26,5,0
cid0000271,0,once-a-month,convenience,4,39.990002,16,1,3,0
cid0000272,1,once-a-week,convenience,5,155.99001,3,38,5,0
cid0000273,1,once-a-month,convenience,4,39.990002,1,0,2,0
cid0000274,1,once-a-month,convenience,3,33.990002,2,0,4,0
cid0000275,0,twice-a-week,healthy,4,259.98999,2,2,4,0
cid0000276,1,once-a-week,ethnic,2,117.99,16,0,4,0
cid0000277,0,twice-a-week,convenience,4,199.99001,2,0,2,1
cid0000278,0,once-a-month,ethnic,4,47.990002,3,0,2,0
cid0000279,1,once-a-month,convenience,5,43.990002,7,18,5,0
cid0000280,1,twice-a-week,convenience,4,199.99001,33,16,2,0
cid0000281,1,twice-a-week,ethnic,4,239.99001,22,0,2,0
cid0000282,1,once-a-month,ethnic,3,40.990002,3,17,5,0
cid0000283,1,twice-a-week,convenience,5,222.99001,52,0,3,0
cid0000284,1,once-a-month,ethnic,4,47.990002,5,0,1,1
cid0000285,0,once-a-month,convenience,4,39.990002,19,61,5,0
cid0000286,0,once-a-month,convenience,6,47.990002,14,0,2,1
cid0000287,1,once-a-month,convenience,5,43.990002,33,0,2,0
cid0000288,0,once-a-month,convenience,2,27.99,35,0,2,0
cid0000289,1,once-a-week,ethnic,5,186.99001,2,0,5,0
cid0000290,1,once-a-month,convenience,2,27.99,1,36,3,0
cid0000291,1,once-a-month,convenience,5,43.990002,35,27,4,0
cid0000292,0,once-a-month,convenience,3,33.990002,49,0,2,0
cid0000293,0,twice-a-week,convenience,3,172.99001,24,29,4,0
cid0000294,1,once-a-month,ethnic,5,52.990002,29,46,4,0
cid0000295,1,once-a-month,convenience,4,39.990002,18,11,5,0
cid0000296,0,once-a-month,ethnic,5,52.990002,4,43,3,0
cid0000297,1,once-a-month,ethnic,5,52.990002,1,37,3,1
cid0000298,0,once-a-week,convenience,4,139.99001,2,64,5,0
cid0000299,1,once-a-month,healthy,2,35.990002,14,29,2,0
cid0000300,0,twice-a-week,convenience,6,243.99001,1,0,2,0
cid0000301,0,twice-a-week,convenience,3,172.99001,3,42,3,0
cid0000302,1,twice-a-week,convenience,3,172.99001,8,0,1,0
cid0000303,0,once-a-month,convenience,5,43.990002,45,28,4,0
cid0000304,1,once-a-week,ethnic,2,117.99,49,0,3,0
cid0000305,0,twice-a-week,ethnic,6,292.98999,30,0,2,0
cid0000306,1,twice-a-week,convenience,2,140.99001,4,15,3,0
cid0000307,1,once-a-month,convenience,3,33.990002,20,0,3,0
cid0000308,0,once-a-month,healthy,3,44.990002,10,46,5,0
cid0000309,0,once-a-month,convenience,3,33.990002,22,16,2,0
cid0000310,1,twice-a-week,ethnic,3,206.99001,14,51,3,0
cid0000311,0,once-a-month,convenience,3,33.990002,26,0,2,0
cid0000312,1,once-a-month,convenience,4,39.990002,42,35,3,0
cid0000313,0,once-a-month,convenience,2,27.99,11,8,4,0
cid0000314,1,once-a-month,convenience,4,39.990002,5,0,3,0
cid0000315,0,once-a-month,convenience,5,43.990002,49,11,3,0
cid0000316,1,twice-a-week,ethnic,3,206.99001,23,32,2,0
cid0000317,1,twice-a-week,convenience,3,172.99001,5,43,3,0
cid0000318,1,once-a-week,convenience,4,139.99001,4,39,2,0
cid0000319,1,once-a-week,convenience,2,97.989998,7,51,5,0
cid0000320,0,once-a-week,convenience,2,97.989998,55,0,1,0
cid0000321,1,once-a-week,healthy,3,156.99001,5,8,5,0
cid0000322,1,twice-a-week,convenience,3,172.99001,30,0,3,0
cid0000323,1,twice-a-week,convenience,3,172.99001,19,0,4,0
cid0000324,0,once-a-week,convenience,6,170.99001,7,0,1,0
cid0000325,0,once-a-month,convenience,3,33.990002,9,43,4,0
cid0000326,1,once-a-month,convenience,4,39.990002,8,39,4,0
cid0000327,1,once-a-month,convenience,3,33.990002,2,0,3,0
cid0000328,1,once-a-week,convenience,2,97.989998,2,0,3,0
cid0000329,0,once-a-month,convenience,2,27.99,1,0,2,0
cid0000330,0,once-a-week,convenience,5,155.99001,28,24,4,1
cid0000331,1,twice-a-week,convenience,3,172.99001,4,47,3,0
cid0000332,1,once-a-month,ethnic,6,57.990002,4,10,2,0
cid0000333,1,once-a-month,healthy,4,51.990002,1,0,1,1
cid0000334,1,once-a-month,convenience,3,33.990002,29,0,4,0
cid0000335,0,twice-a-week,healthy,6,317.98999,1,17,4,1
cid0000336,1,once-a-week,convenience,3,120.99,7,4,4,0
cid0000337,0,twice-a-week,convenience,6,243.99001,27,30,5,0
cid0000338,1,twice-a-week,healthy,5,289.98999,20,0,4,0
cid0000339,1,once-a-week,convenience,5,155.99001,22,0,3,0
cid0000340,1,once-a-month,ethnic,6,57.990002,2,4,2,1
cid0000341,1,once-a-month,convenience,4,39.990002,6,45,4,0
cid0000342,0,once-a-month,convenience,3,33.990002,15,39,4,0
cid0000343,0,once-a-month,convenience,5,43.990002,40,0,2,0
cid0000344,1,twice-a-week,ethnic,5,267.98999,21,0,2,0
cid0000345,0,once-a-month,convenience,3,33.990002,26,37,2,0
cid0000346,0,once-a-month,convenience,2,27.99,4,28,5,0
cid0000347,0,once-a-month,convenience,5,43.990002,23,36,3,0
cid0000348,0,once-a-month,convenience,6,47.990002,20,0,4,0
cid0000349,0,twice-a-week,convenience,4,199.99001,36,6,3,0
cid0000350,1,twice-a-week,ethnic,5,267.98999,6,0,2,0
cid0000351,1,once-a-month,healthy,4,51.990002,1,0,2,1
cid0000352,1,twice-a-week,ethnic,2,168.99001,5,33,4,0
cid0000353,0,once-a-month,convenience,2,27.99,3,0,3,0
cid0000354,0,once-a-month,convenience,3,33.990002,9,0,3,0
cid0000355,0,once-a-month,healthy,3,44.990002,15,0,2,0
cid0000356,1,once-a-month,convenience,4,39.990002,4,51,2,0
cid0000357,1,twice-a-week,healthy,4,259.98999,5,44,3,1
cid0000358,0,twice-a-week,convenience,4,199.99001,23,63,5,0
cid0000359,0,twice-a-week,ethnic,5,267.98999,1,62,4,1
cid0000360,0,once-a-month,convenience,2,27.99,8,43,4,0
cid0000361,1,once-a-month,convenience,3,33.990002,2,51,5,0
cid0000362,1,once-a-month,ethnic,4,47.990002,11,41,5,0
cid0000363,0,once-a-month,convenience,2,27.99,5,38,3,0
cid0000364,1,once-a-month,convenience,5,43.990002,2,0,2,0
cid0000365,1,twice-a-week,ethnic,3,206.99001,4,0,3,0
cid0000366,0,once-a-month,healthy,6,62.990002,29,0,1,1
cid0000367,0,twice-a-week,ethnic,4,239.99001,47,0,1,0
cid0000368,0,once-a-month,convenience,3,33.990002,20,0,2,0
cid0000369,1,once-a-month,ethnic,5,52.990002,2,5,2,1
cid0000370,0,twice-a-week,convenience,3,172.99001,3,43,4,0
cid0000371,1,once-a-month,convenience,5,43.990002,33,0,3,0
cid0000372,0,once-a-month,healthy,2,35.990002,31,33,4,0
cid0000373,1,once-a-month,convenience,4,39.990002,34,16,4,0
cid0000374,1,once-a-month,healthy,5,57.990002,21,50,4,0
cid0000375,1,twice-a-week,convenience,3,172.99001,8,31,3,0
cid0000376,1,once-a-month,convenience,5,43.990002,48,66,5,0
cid0000377,0,once-a-month,convenience,5,43.990002,3,0,1,1
cid0000378,1,once-a-month,convenience,4,39.990002,3,0,2,1
cid0000379,1,once-a-month,ethnic,3,40.990002,37,0,1,0
cid0000380,1,once-a-month,ethnic,4,47.990002,25,21,4,0
cid0000381,0,twice-a-week,convenience,5,222.99001,15,25,2,0
cid0000382,0,once-a-month,convenience,5,43.990002,46,16,2,0
cid0000383,0,once-a-month,healthy,6,62.990002,47,13,4,0
cid0000384,0,once-a-month,convenience,2,27.99,44,49,5,0
cid0000385,1,twice-a-week,healthy,5,289.98999,3,0,1,0
cid0000386,1,once-a-month,healthy,4,51.990002,2,17,5,0
cid0000387,0,once-a-month,convenience,5,43.990002,3,5,4,0
cid0000388,1,once-a-month,convenience,4,39.990002,5,15,3,0
cid0000389,1,once-a-month,ethnic,3,40.990002,1,56,3,0
cid0000390,0,once-a-month,convenience,3,33.990002,3,0,3,0
cid0000391,1,once-a-month,ethnic,4,47.990002,14,14,4,0
cid0000392,1,once-a-month,ethnic,3,40.990002,1,30,5,0
cid0000393,1,once-a-month,convenience,5,43.990002,15,18,4,0
cid0000394,0,once-a-month,convenience,5,43.990002,16,1,4,0
cid0000395,0,once-a-month,ethnic,5,52.990002,24,0,3,0
cid0000396,0,once-a-month,ethnic,2,32.990002,6,27,4,0
cid0000397,0,once-a-month,convenience,2,27.99,2,0,5,0
cid0000398,1,once-a-month,convenience,5,43.990002,2,0,1,0
cid0000399,0,once-a-week,ethnic,3,144.99001,14,6,2,0
cid0000400,0,once-a-week,convenience,5,155.99001,14,0,2,1
cid0000401,1,once-a-month,healthy,4,51.990002,9,50,5,0
cid0000402,0,once-a-month,convenience,6,47.990002,3,30,4,0
cid0000403,1,twice-a-week,convenience,2,140.99001,1,0,3,0
cid0000404,0,twice-a-week,ethnic,3,206.99001,4,13,5,0
cid0000405,1,once-a-month,convenience,2,27.99,3,42,3,0
cid0000406,0,once-a-month,healthy,3,44.990002,8,39,3,0
cid0000407,1,once-a-month,convenience,5,43.990002,7,14,3,0
cid0000408,1,once-a-month,healthy,4,51.990002,9,0,2,0
cid0000409,1,twice-a-week,ethnic,3,206.99001,3,0,1,1
cid0000410,1,once-a-month,convenience,5,43.990002,1,14,4,0
cid0000411,0,once-a-month,convenience,3,33.990002,16,0,5,0
cid0000412,1,twice-a-week,convenience,5,222.99001,10,0,2,0
cid0000413,0,once-a-month,ethnic,3,40.990002,3,0,1,1
cid0000414,1,once-a-week,ethnic,4,167.99001,49,0,1,0
cid0000415,0,twice-a-week,convenience,2,140.99001,7,46,4,0
cid0000416,1,twice-a-week,healthy,3,224.99001,42,38,3,0
